,itearation,variable,value,sample_size
575,5,x_20,1.0000000225295878,64
576,6,x_20,0.9999999634035005,64
577,7,x_20,0.9999303400266848,64
578,8,x_20,0.9996069063098456,64
579,9,x_20,0.9999468948653992,64
580,10,x_20,0.999960297750012,64
581,11,x_20,0.999898911818211,64
582,12,x_20,1.000000023152242,64
583,13,x_20,0.9999999846360289,64
584,14,x_20,1.000000017722601,64
585,15,x_20,0.9999999962530576,64
586,16,x_20,0.9999993768411337,64
587,17,x_20,0.9012919686362498,64
588,18,x_20,0.9999992113579794,64
589,19,x_20,0.9999791469575949,64
590,20,x_20,0.998345694773735,64
591,21,x_20,0.9999999604343662,64
592,22,x_20,0.9999999958029689,64
593,23,x_20,1.0000000091397565,64
594,24,x_20,0.9949834267848257,64
595,25,x_20,0.9999897372577018,64
596,26,x_20,0.9999986822825138,64
597,27,x_20,0.9999999723255635,64
598,28,x_20,0.999999982978158,64
599,29,x_20,0.9999968416826919,64
600,0,x_21,1.000000004881824,64
601,1,x_21,0.9999999942222321,64
602,2,x_21,0.9999999628417579,64
603,3,x_21,0.9999414245972219,64
604,4,x_21,0.9999643384376885,64
605,5,x_21,0.9999999973054773,64
606,6,x_21,0.9999999543667641,64
607,7,x_21,0.9999562171272235,64
608,8,x_21,0.9999776281315299,64
609,9,x_21,0.9999674205520005,64
610,10,x_21,0.9999211230017082,64
611,11,x_21,0.9999027386576271,64
612,12,x_21,0.9999999934723729,64
613,13,x_21,1.0000000199528467,64
614,14,x_21,0.9999996106772879,64
615,15,x_21,1.0000000106589018,64
616,16,x_21,0.9999875969629998,64
617,17,x_21,0.9254771264649103,64
618,18,x_21,0.9999999725261673,64
619,19,x_21,0.9983544421453251,64
620,20,x_21,0.996873273522462,64
621,21,x_21,0.9999999922575444,64
622,22,x_21,0.9999999835272798,64
623,23,x_21,1.0000000012624493,64
624,24,x_21,0.9989236073345061,64
625,25,x_21,0.999996331117476,64
626,26,x_21,0.999287249740098,64
627,27,x_21,0.9999999791898492,64
628,28,x_21,1.0000000284594455,64
629,29,x_21,0.9999993236669417,64
630,0,x_22,0.999999986185765,64
631,1,x_22,1.0000000002060438,64
632,2,x_22,1.0000000150490156,64
